amazon,google
b000jz4hqo,http://www.google.com/base/feeds/snippets/18441480711193821750
b0006zf55o,http://www.google.com/base/feeds/snippets/18441504609012350988
b00004tkvy,http://www.google.com/base/feeds/snippets/18441110047404795849
b000g80lqo,http://www.google.com/base/feeds/snippets/18441188461196475272
b0006se5bq,http://www.google.com/base/feeds/snippets/18428750969726461849
b000ehpzv8,http://www.google.com/base/feeds/snippets/18440602911777368492
b00021xhzw,http://www.google.com/base/feeds/snippets/7972469902462196789
b000gzwjgc,http://www.google.com/base/feeds/snippets/18431827533263730235
b0000dbykm,http://www.google.com/base/feeds/snippets/18434163358494173665
b00029bqa2,http://www.google.com/base/feeds/snippets/18402597692930439041
b0007prnjo,http://www.google.com/base/feeds/snippets/18434733520229761009
b000aazr5i,http://www.google.com/base/feeds/snippets/15389880066298029811
b000bhl1r8,http://www.google.com/base/feeds/snippets/13582930230756997101
b000i82j80,http://www.google.com/base/feeds/snippets/12086037741590312489
b00006hmwc,http://www.google.com/base/feeds/snippets/18420699270121125398
b000in6u62,http://www.google.com/base/feeds/snippets/18434616791723899127
b000083k56,http://www.google.com/base/feeds/snippets/13598501353144283116
b00006hvvo,http://www.google.com/base/feeds/snippets/3409784122469217433
b0000ycfcw,http://www.google.com/base/feeds/snippets/321181551780335576
b00066dd5m,http://www.google.com/base/feeds/snippets/949436197920820923
b00002sac9,http://www.google.com/base/feeds/snippets/8401993747038150345
b000bcz8ng,http://www.google.com/base/feeds/snippets/3077454195131808819
b000fm18vi,http://www.google.com/base/feeds/snippets/3620383930983735395
b00009apna,http://www.google.com/base/feeds/snippets/17298617365180292947
b0009rgzgm,http://www.google.com/base/feeds/snippets/1883379429602083103
b000ap2wyw,http://www.google.com/base/feeds/snippets/2622452102774676117
b000o24l3q,http://www.google.com/base/feeds/snippets/5181661570525386541
b0009jlux8,http://www.google.com/base/feeds/snippets/4923451909983851979
b0009jlux8,http://www.google.com/base/feeds/snippets/16072788843762697430
b000cszg2m,http://www.google.com/base/feeds/snippets/5032391174084349054
b00023azve,http://www.google.com/base/feeds/snippets/14691100460127614059
b000ndicuy,http://www.google.com/base/feeds/snippets/2263647849333008264
b0000ycfdq,http://www.google.com/base/feeds/snippets/12846244427931030930
b0007yepy6,http://www.google.com/base/feeds/snippets/4783370532123880956
b000cpmtwk,http://www.google.com/base/feeds/snippets/1417708435719198149
b0002qnd2y,http://www.google.com/base/feeds/snippets/975032998818002648
b000h22pg8,http://www.google.com/base/feeds/snippets/17185994271384879488
b0009h9q1i,http://www.google.com/base/feeds/snippets/5665024204886410
b000cqyclu,http://www.google.com/base/feeds/snippets/1695089910833084773
b0001db6i6,http://www.google.com/base/feeds/snippets/12904825904608701558
b000bl40dg,http://www.google.com/base/feeds/snippets/10381298233088883938
b000h22rbg,http://www.google.com/base/feeds/snippets/17357728675180341663
b000h22rbg,http://www.google.com/base/feeds/snippets/1803780371601211439
b000bezsyi,http://www.google.com/base/feeds/snippets/10911853136488554482
b0007g9760,http://www.google.com/base/feeds/snippets/11567429261409321598
b0001bg5gq,http://www.google.com/base/feeds/snippets/17530305432950801722
b000ivhozk,http://www.google.com/base/feeds/snippets/12543046747030237240
b000buqo9a,http://www.google.com/base/feeds/snippets/12604725900103506627
b000buqo9a,http://www.google.com/base/feeds/snippets/12768847283587745008
b00032heya,http://www.google.com/base/feeds/snippets/6195321262763979528
b000butd6q,http://www.google.com/base/feeds/snippets/6990565128537638388
b00032hexq,http://www.google.com/base/feeds/snippets/6856336028258284106
b000b6vlh4,http://www.google.com/base/feeds/snippets/10993073455692001778
b0009i9tqy,http://www.google.com/base/feeds/snippets/12306142837405920435
b00024yohy,http://www.google.com/base/feeds/snippets/9205821354688722990
b00020633g,http://www.google.com/base/feeds/snippets/4783370532123880956
b000cbqbby,http://www.google.com/base/feeds/snippets/15968024348116246841
b0002x1omi,http://www.google.com/base/feeds/snippets/7039940734695244235
b0009stm6g,http://www.google.com/base/feeds/snippets/7117788517647646539
b000ap0h94,http://www.google.com/base/feeds/snippets/7651654029530591686
b0000ycfe0,http://www.google.com/base/feeds/snippets/8175198959985911471
b00006j02n,http://www.google.com/base/feeds/snippets/10898705926445837951
b0000aka82,http://www.google.com/base/feeds/snippets/15883771067913561390
b00002s8if,http://www.google.com/base/feeds/snippets/17110430434010171078
b0009ren8e,http://www.google.com/base/feeds/snippets/18152695793777845265
b000a3x6te,http://www.google.com/base/feeds/snippets/16407653863068941558
b000bnb72g,http://www.google.com/base/feeds/snippets/17010841797296818807
b000ap422c,http://www.google.com/base/feeds/snippets/15918748426604243470
b000098xjo,http://www.google.com/base/feeds/snippets/16361312648941715869
b000314vvu,http://www.google.com/base/feeds/snippets/18384366678790095384
b000100eg4,http://www.google.com/base/feeds/snippets/18384385996318614203
b000fa5ens,http://www.google.com/base/feeds/snippets/18384136689746651786
